category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Summer 2026,,Iced Chocolate,₹179,,"Cool, creamy chocolate over ice — smooth, indulgent, and effortlessly chill.",Veg,,,Yes,Check app
Summer 2026,,Iced Chocolate Boba,₹239,,"Chilled, creamy iced chocolate with chocolate popping boba — rich, smooth sips with bursts of double chocolate fun.",Veg,,,,Check app
Daily Sips,,Mocha,₹169,Mini Hot (240 Ml): ₹169 | Maxx Cold (480 Ml): ₹189,"Chocolate and coffee, holding hands - perfect hot or cold.",Veg,3.7,3,,Check app
Daily Sips,,Iced Latte,₹159,,"Milk-led, caffeine-powered - always smooth. Contains no sugar.",Veg,5.0,4,Yes,Check app
Daily Sips,,Americano,₹119,Mini Hot (240 Ml): ₹119 | Maxx Cold (480 Ml): ₹139,Americano your way - hot or cold.,Veg,,,,Check app
Daily Sips,,Vietnamese Iced Coffee,₹189,,"Slow-dripped bold coffee over thick, sweetened milk.",Veg,3.9,12,Yes,Check app
Daily Sips,,Cappuccino,₹159,,"A warm classic - rich, creamy, and frothy. No sugar added.",Veg,5.0,4,,Check app
Daily Sips,,Hot Chocolate,₹179,,"Warm, smooth, and indulgent.",Veg,5.0,1,,Check app
Daily Sips,,Classic Cold Coffee,₹179,,"Just bold coffee, cold milk, and a sweet hit of nostalgia.",Veg,4.3,7,Yes,Check app
Daily Sips,,Filter Coffee,₹79,,"Slow-brewed the traditional South Indian way for a rich, velvety coffee.",Veg,,,,Check app
Daily Sips,,Tea,₹79,Ginger Tea: ₹79 | Masala Tea: ₹79,Aromatic Indian chai - a classic that feels like home. Serve size 120 ml.,Veg,,,,Check app
Flavored Cappuccino/cold Coffee,,Tiramisu Treat Coffee,₹159,Mini Hot (240 Ml): ₹159 | Maxx Cold (480 Ml): ₹189,"Coffee meets dessert in this rich, creamy tiramisu-inspired cuppa.",Veg,4.2,6,,Check app
Flavored Cappuccino/cold Coffee,,Caramel Craze Coffee,₹159,Mini Hot (240 Ml): ₹159 | Maxx Cold (480 Ml): ₹189,"Smooth caramel coffee, enjoyed hot or cold.",Veg,,,,Check app
