category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Classic Coffees (hot/iced),,Mocha,₹275,ICED: ₹300 | HOT: ₹275,,Veg,,,,Check app
Classic Coffees (hot/iced),,Spanish Latte,₹245,ICED: ₹275 | HOT: ₹245,,Veg,,,,Check app
Classic Coffees (hot/iced),,Latte,₹210,ICED: ₹235 | HOT: ₹210,,Veg,,,,Check app
Classic Coffees (hot/iced),,Vietnamese Iced Coffee,₹250,,,Veg,,,,Check app
Classic Coffees (hot/iced),,Cappuccino.,₹210,,,Veg,,,,Check app
Classic Coffees (hot/iced),,Americano,₹180,ICED: ₹195 | HOT: ₹180,,Veg,,,,Check app
Classic Coffees (hot/iced),,Macchiato,₹180,,,Veg,,,,Check app
Classic Coffees (hot/iced),,Cortado,₹180,,,Veg,,,,Check app
Classic Coffees (hot/iced),,Flat White,₹220,,,Veg,,,,Check app
Classic Coffees (hot/iced),,Espresso,₹155,,,Veg,,,,Check app
Cold Brews,,Classic Cold Brew,₹285,,,Veg,,,,Check app
Cold Brews,,OJ Cold Brew,₹325,,,Veg,,,,Check app
Cold Brews,,Barrel-aged Cold Brew,₹390,,,Veg,,,,Check app
Cold Brews,,Coconut Cold Brew,₹325,,,Veg,,,,Check app
Cold Brews,,CJ Cold Brew,₹325,,,Veg,,,,Check app
Manual Brews,,V60 Pour Over,₹253,ICED: ₹260 | HOT: ₹253,,Veg,,,,Check app
Manual Brews,,Aeropress,₹235,ICED: ₹260 | HOT: ₹235,,Veg,,,,Check app
Manual Brews,,Chemex,₹235,ICED: ₹260 | HOT: ₹235,,Veg,,,,Check app
Manual Brews,,French Press,₹235,ICED: ₹260 | HOT: ₹235,,Veg,,,,Check app
Chocolate Drinks,,Hot Chocolate,₹300,,,Veg,,,,Check app
Chocolate Drinks,,Cold Chocolate,₹325,,,Veg,,,,Check app
Espresso Specials,,Espresso Ginger Ale,₹230,,,Veg,,,,Check app
Espresso Specials,,Espresso Tonic,₹230,,,Veg,,,,Check app
Matcha,,Matcha Latte,₹275,ICED: ₹300 | HOT: ₹275,,Veg,,,,Check app
